,Gemeentenaam,energetic_emissions_other_ghg_agriculture,energetic_emissions_other_ghg_buildings,energetic_emissions_other_ghg_energy,energetic_emissions_other_ghg_households,energetic_emissions_other_ghg_industry,energetic_emissions_other_ghg_transport,indirect_emissions_co2,non_energetic_emissions_co2_agriculture_manure,non_energetic_emissions_co2_agriculture_soil_cultivation,non_energetic_emissions_co2_chemical_industry,non_energetic_emissions_co2_other_industry,non_energetic_emissions_co2_waste_management,non_energetic_emissions_other_ghg_agriculture_fermentation,non_energetic_emissions_other_ghg_agriculture_manure,non_energetic_emissions_other_ghg_agriculture_other,non_energetic_emissions_other_ghg_agriculture_soil_cultivation,non_energetic_emissions_other_ghg_chemical_industry,non_energetic_emissions_other_ghg_other_industry,non_energetic_emissions_other_ghg_waste_management
Oude IJsselstreek,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Ouder-Amstel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Oudewater,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Overbetuwe,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Papendrecht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Peel en Maas,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Pekela,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Pijnacker-Nootdorp,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Purmerend,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Putten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Raalte,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Reimerswaal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Renkum,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Renswoude,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Reusel-De Mierden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Rheden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Rhenen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Ridderkerk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Rijssen-Holten,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Rijswijk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Roerdalen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Roermond,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Roosendaal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Rotterdam,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Rozendaal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Rucphen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Schagen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Scherpenzeel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Schiedam,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Schiermonnikoog,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Schouwen-Duiveland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Simpelveld,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Sint Anthonis,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Sint-Michielsgestel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Sittard-Geleen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Sliedrecht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Sluis,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Smallingerland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Soest,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Someren,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Son en Breugel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Stadskanaal,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Staphorst,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Stede Broec,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Steenbergen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Steenwijkerland,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Stein,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Stichtse Vecht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Súdwest-Fryslân,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Terneuzen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Terschelling,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Texel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Teylingen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Tholen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Tiel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Tilburg,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Tubbergen,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Twenterand,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Tynaarlo,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Tytsjerksteradiel,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Uden,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Uitgeest,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Uithoorn,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Urk,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Utrecht,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Utrechtse Heuvelrug,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
Vaals,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,,,,,,,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1,alleen in bestand1
